,url,SBERT Similarity,LaBSE Similarity,TF-IDF Similarity,name
0,http://vantaiquoctuan.vn/,0.3570776,0.29632324,0.034299935037368744,CÔNG TY TNHH HÀNG HẢI QUỐC TUẤN
0,https://dauthau.asia/businesslistings/detail/CONG-TY-TNHH-THUONG-MAI-KY-THUAT-VA-DICH-VU-THONG-NHAT-33115/,0.38996887,0.20792949,0.06366679706033657,CÔNG TY TNHH TM DV THỐNG NHẤT
0,http://inminhquan.com/,0.46203378,0.42323315,0.16688604665217627,CÔNG TY TNHH IN ẤN LÊ MINH QUÂN
0,https://annhienfood.com.vn/,0.6178403,0.5690187,0.18566911655394722,CÔNG TY TNHH SẢN XUẤT THƯƠNG MẠI DỊCH VỤ DINH DƯỠNG PHÁT AN NHIÊN
0,https://cokhitudongchiho.com/lien-he,0.6668898,0.48932028,0.11933563756341835,CÔNG TY TNHH CƠ KHÍ HƯỚNG PHONG
0,https://denledchatluongcao.vn/,0.58549887,0.5091422,0.040733677606117305,CÔNG TY CỔ PHẦN GIẢI PHÁP CHIẾU SÁNG VÀ NĂNG LƯỢNG SOHOBI
0,https://automation-tienquan.com/,0.55429506,0.42990887,0.03827468558092993,CÔNG TY TNHH MT TIẾN QUÂN
0,https://daihoabinhduong.com/,0.68686444,0.340711,0.09996847019733053,CÔNG TY TNHH ĐẠI HOÀ JA
0,https://daihoaco.com/,0.6720403,0.38271213,0.09098761225884221,CÔNG TY TNHH ĐẠI HOÀ JA
0,https://globalfoodsource.vn/,0.45226628,0.3492312,0.14527047790347228,CÔNG TY TNHH NỮ HOÀNG MÙA XUÂN
0,https://huunghiplastic.com.vn/,0.5202887,0.34846812,0.11122605228746037,CÔNG TY TNHH HẠT NHỰA HỮU NGHỊ
0,https://ematechvn.com/,0.50488055,0.48865297,0.19554535111025462,CÔNG TY TNHH EMA TECH
0,https://baocaothongtin.com/vi/congty/vn-VN0001430704/hung-uy-vuong-production-trading-service-company-limited/,0.078855574,0.19822204,0.0,CÔNG TY TNHH SẢN XUẤT THƯƠNG MẠI DỊCH VỤ HÙNG UY VƯƠNG
0,https://infodoanhnghiep.com/thong-tin/Cty-TNHH-MTV-Thuong-Mai-Dich-Vu-Hoa-Bi-49927.html,0.43453747,0.28359714,0.09597465942942571,CÔNG TY TNHH THƯƠNG MẠI DỊCH VỤ HỌA BÌ
0,https://www.yenviet.com.vn/,0.7457094,0.466607,0.06333249894743383,CÔNG TY TNHH ĐẠI YẾN VIỆT
0,http://euroland.dichvuvietbaichuanseo.com/,0.39234203,0.4472028,0.15544609959512135,CÔNG TY TNHH ĐẦU TƯ VÀ PHÁT TRIỂN EURO LAND VIỆT NAM
